,comment,star,date,,상품 링크
165,m사이즈하니까 너무 넉넉하지 않고 딱 핏되고 좋아요,4,22.07.07.,,
166,"보이즈 티셔츠 인줄 모르고 주문했는데
평소 널널한 핏을 좋아해서.. 색상은 정말 마음에 드는데
핏이 너무 별로에요",5,22.06.07.,,
167,생각보다큼 파란색은 아니었는데 헐렁헐렁,5,22.07.07.,,
168,"배송빠르고 가격좋구 판매자님친절하시고
다른컬러 또구매하려합니다",5,22.06.12.,,
169,일부러 크게사서 오버핏으로 입으려고 샀답니다. 감사합니다!,5,22.07.05.,,
170,다른부분은 다 괜찮은데 목부분이 쫌 낑겨요 그래도 예뻐요,5,22.06.09.,,
171,너무 만족합니다. 폴로는 여기서 항상 구매합니다.,5,22.07.02.,,
172,M이 작다는말이 있어서 걱정했는데 55인데 정핏이에요~예뻐요,5,22.06.15.,,
173,보이즈 사이즈 너무 좋아요 색도 예뻐요,5,22.06.07.,,
174,개나리색 진짜 예뻐요 천도 보들보들~~ 싸게 진짜 잘샀어여,5,22.06.12.,,
175,다른분들 혹시나 도움되실까 올려봅니다. 키작고 보통체형에 팔뚝이 좀 굵은 아줌마 착샷입니다. L사이즈 낙낙하니 붙는곳없이 오버핏도 아닌것이 좋아요.,5,22.05.26.,,
176,예뻐요 만족 합니당,5,22.06.17.,,
177,"소재 부드러우면서 톡톡하고 사이즈도 딱 예쁘게 맞아서 좋네요^^ 키158, 46kg M(10-12)사이즈 적당히 핏되면서 잘 맞네요 참고하세요",5,22.05.30.,,
178,예뻐요~~ 재질도좋구요,5,22.07.05.,,
179,배송은 직구중에 젤빠르고 상품잘받았습니다~,5,22.07.07.,,
180,핏하게 잘맞아요 근데 목부분이 좀뜨더라구요. 사진은 보이즈카라티 엑스라지비교샷입니다,5,22.06.05.,,
181,"색깔 별로 있으면 좋을 것 같아요
배송이 매우 빨랐어요",5,22.06.15.,,
182,여기옷 좋아요 또 구매각,5,22.07.01.,,
183,편하고 좋았어요ㅎㅎ,5,22.06.21.,,
184,"160에 50키로인데 핏 좋앙
ㅛ",5,22.07.12.,,
185,"사이즈 잘 맞아요
배송도 생각보다 빨라요
잘입을게요",5,22.06.15.,,
186,"165cm-56kg 
정사이즈로 딱이에요",5,22.07.15.,,
187,두개를샀다가맘에들어두개더주문했어요.원하던색이사이즈가없어다른색으로주문하게되어조금아쉬웠지만좋아요,5,22.06.18.,,
188,"집에서 애 보면서 편히 입으려고 샀어요
저렴하게 구매해서 더 만족합니더!",5,22.06.04.,,
189,클래식인 것 같아요 성인 여성 55에게 오버핏으로 맞습니다!,5,22.07.05.,,
190,천이 부드럽고 신축성도 꽤 있는편이에요 핏도 편안합니다,5,22.06.12.,,
191,잘 입고 있어요 건도기도 오케이,5,22.06.13.,,
192,막입기 좋아요 ㅎㅎ,5,22.06.21.,,
193,색이뻐요 사이즈도 잘맞고 봄에 잘 입었어요,5,22.06.25.,,
194,편하고 좋아용 !ㅎ,5,22.06.21.,,
195,배송 빠르고 요즘 너무 잘 입고다녀요~,5,22.07.05.,,
196,배송빠르고 가격도착하고 너무좋아요.^^,5,22.06.12.,,
197,배송빠르고 가격착하고 다른컬러더구매하려구요^^,5,22.06.12.,,
198,"기장감 좋습니다. 엑라 하려다가 라지로 변경 했는데 160 / 59-60 상의 55-55반, 아우터 66 입는데 라지가 딱 좋네요 
상체 66 이상이면 엑라 하셔야 할거 같아요",5,22.06.24.,,
199,깔끔하고 예뻐용 사이즈 고민 많이 했는데 M하니까 딱 예쁜핏이에요,5,22.06.28.,,
200,"세상에 국내배송보다 빨리왔어요!
옷도 질감이랑 너무 좋고 예뻐요!!!!
색상 보고 더 주문하려구요!!!!",5,22.06.23.,,
201,"국내배송보다 더 빠른데요..?
사이즈도 거의 맞춤 옷처럼 딱맞아요😀",5,22.06.09.,,
202,하늘색 계열이 여러개라서 웜톤얼굴에 맞는게 어떤걸까 고민하다 옆에 놓고 보는게 아닌이상 별차이 없을듯해서 패러킷 색상을 그린에 가깝다고 여긴다면 밝은 블루라고 딱 생각날 색상을 한다고 골라봤는데 좋은선택 이었습니다.,5,22.05.26.,,
